Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16120130 4563,Kettleshulme,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Holiday,VAR,2002/03,06/11/2002,MBC,1
16190327 9824,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Holiday,VAR,2006/07,06/12/2006,DDDC,1
16111123 9404,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Holiday,VAR,1999/00,24/12/1996,DDDC,1
16441212 1289,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Holiday,VAR,2003/04,19/04/2002,DDDC,2
16291006 3706,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Holiday,VAR,2007/08,21/12/2007,HPBC,-1
16530103 5704,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Holiday,VAR,1994/95,15/06/1994,HPBC,1
16910803 7210,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Holiday,VAR,2002/03,08/10/2002,HPBC,-1
16250524 6229,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Holiday,VAR,2000/01,25/07/2000,SMDC,-1
16580210 8844,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Holiday,VAR,2009/10,30/11/2009,HPBC,-1
16720130 0980,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Holiday,VAR,2011/12,12/10/2011,DDDC,-1
16640330 9559,Hope,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Holiday,VAR,2011/12,07/06/2011,HPBC,-2
16930715 8775,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Holiday,LDCE,2004/05,01/02/2005,SMDC,-1
16311207 6645,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Holiday,LDCE,2000/01,11/12/2000,SMDC,-1
16271014 4326,Aldwark,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Holiday,LDCE,2006/07,15/03/2007,DDDC,-1
16801106 4246,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Open Market,COU,2009/10,18/03/2008,SCC,1
16251227 2184,Grindleford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Open Market,COU,2006/07,25/05/2004,DDDC,1
16180116 7121,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Open Market,COU,2008/09,15/05/2006,DDDC,1
16771119 6951,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Open Market,COU,2005/06,11/06/2004,DDDC,1
16461029 4599,Tideswell,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Open Market,COU,2000/01,30/08/1996,DDDC,1
16170307 8228,Tissington,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Open Market,COU,2005/06,19/08/2002,DDDC,1
16361022 1099,Longnor,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Open Market,COU,2009/10,11/09/2006,SMDC,1
16120813 9954,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Open Market,COU,2010/11,29/10/2007,DDDC,1
16770914 9301,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Open Market,COU,2008/09,26/10/2006,DDDC,1
16550214 5476,Little Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Open Market,COU,2004/05,28/11/1996,DDDC,1
16060827 3405,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Open Market,COU,2008/09,12/03/2007,DDDC,1
16691111 9003,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Open Market,COU,2007/08,16/06/2004,DDDC,2
16560105 0684,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Open Market,COU,2010/11,15/07/2008,DDDC,1
16490808 8596,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Open Market,COU,2008/09,28/08/2007,DDDC,2
16241104 5665,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Open Market,COU,2004/05,10/04/2001,DDDC,1
16730127 4267,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Open Market,COU,2005/06,10/04/2001,DDDC,1
16100305 3186,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Open Market,COU,1992/93,06/06/1988,MBC,1
16400919 8336,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Open Market,COU,2001/02,21/04/1998,DDDC,1
16180817 3015,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Open Market,COU,2008/09,28/04/2006,DDDC,1
16060724 5545,Bradwell,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Open Market,COU,2009/10,12/01/2009,DDDC,1
16140804 3568,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Open Market,COU,1993/94,11/10/1982,DDDC,1
16421103 1937,Stanton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Open Market,COU,1993/94,31/07/1992,DDDC,1
16550324 0458,Sheffield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Open Market,COU,1997/98,02/05/1997,SCC,1
16731016 3857,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Open Market,COU,1998/99,01/05/1997,SCC,1
16960311 1700,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Open Market,COU,1999/00,28/04/1997,SMDC,1
16760619 6140,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Open Market,COU,2009/10,12/07/2007,DDDC,1
16220821 1041,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Open Market,COU,1992/93,12/06/1989,MBC,1
16921121 7501,Hathersage,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Open Market,COU,1996/97,25/04/1995,DDDC,1
16880616 4771,Sheldon,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Open Market,COU,2001/02,16/07/1998,DDDC,1
16100706 1979,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Open Market,COU,2005/06,12/06/2001,SMDC,1
16300808 0016,Beeley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Open Market,COU,2005/06,23/07/2002,DDDC,1
16771115 6021,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Open Market,COU,1992/93,21/02/1990,DDDC,1
16081115 6488,Bradfield,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Open Market,COU,1998/99,21/06/1996,SCC,1
16980115 0815,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Open Market,COU,1998/99,05/08/1997,DDDC,1
16321126 1551,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Open Market,COU,2005/06,28/08/2002,DDDC,1
16030428 2304,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Open Market,COU,1997/98,14/07/1992,DDDC,1
16200226 9476,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Open Market,COU,2000/01,24/06/1998,DDDC,1
16320126 0282,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Open Market,COU,1999/00,16/08/1996,DDDC,1
16110220 8921,Sheldon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Open Market,COU,1999/00,02/09/1998,DDDC,1
16751013 0979,Flagg,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Open Market,COU,2006/07,15/11/2001,DDDC,1
16671129 0657,Butterton,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Open Market,COU,2005/06,02/12/2002,SMDC,1
16190225 0107,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Open Market,COU,2005/06,16/09/2003,DDDC,1
16091015 8013,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Open Market,COU,2005/06,11/09/2003,DDDC,1
16560112 4919,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Open Market,COU,1992/93,27/11/1990,DDDC,1
16380207 3787,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Open Market,COU,1999/00,20/06/1997,SMDC,1
16011120 5506,Great Hucklow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Open Market,COU,2008/09,04/05/2007,DDDC,1
16120128 3437,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Open Market,COU,2007/08,26/10/2007,DDDC,1
16010815 9542,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Open Market,COU,1991/92,07/12/1990,DDDC,1
16440708 5325,Pilsley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Open Market,COU,2002/03,02/12/1998,DDDC,1
16210102 9045,Monyash,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Open Market,COU,2000/01,04/11/1998,DDDC,1
16710922 0314,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Open Market,COU,2002/03,07/12/1999,DDDC,1
16030519 3419,Parwich,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Open Market,COU,2002/03,10/11/1999,DDDC,1
16900606 9745,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Open Market,COU,1992/93,02/12/1988,DDDC,1
16600516 2703,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Open Market,COU,1992/93,11/12/1989,DDDC,1
16840612 6493,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Open Market,COU,1992/93,22/01/1991,SMDC,1
16110818 7970,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Open Market,COU,1999/00,31/10/1995,DDDC,1
16240602 1572,Grindlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Open Market,COU,1999/00,13/11/1996,DDDC,1
16350922 6472,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Open Market,COU,2000/01,06/06/2000,DDDC,1
16690420 1008,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Open Market,COU,2008/09,20/05/2003,DDDC,1
16921122 4754,Monyash,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Open Market,COU,2009/10,13/02/2007,DDDC,1
16900212 4528,Dunford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Open Market,COU,1992/93,17/02/1988,BMBC,1
16730424 1354,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Open Market,COU,2003/04,23/12/1996,DDDC,1
16280212 5662,Kettleshulme,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Open Market,COU,1996/97,21/02/1990,MBC,1
16451213 5981,Ballidon,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Open Market,COU,1996/97,04/06/1990,DDDC,1
16800617 9322,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Open Market,COU,1994/95,16/12/1992,HPBC,1
16411104 0921,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Open Market,COU,1997/98,22/01/1996,SCC,1
16460803 2563,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Open Market,COU,2001/02,14/03/1997,SMDC,1
16780423 3448,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Open Market,COU,1999/00,14/03/1997,SMDC,1
16401229 2787,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Open Market,COU,2000/01,14/03/1997,SMDC,1
16791008 2648,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Open Market,COU,2005/06,14/03/1997,SMDC,1
16310816 1765,Sheldon,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Open Market,COU,1999/00,12/02/1998,DDDC,1
16180117 2618,Eyam,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Open Market,COU,2000/01,14/01/2000,DDDC,1
16200711 2358,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Open Market,COU,2002/03,26/01/2001,DDDC,1
16650306 5184,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Open Market,COU,2004/05,07/08/2000,DDDC,1
16460622 8189,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Open Market,COU,1999/00,02/02/1998,DDDC,1
16720501 6269,Foolow,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Open Market,COU,1999/00,27/04/1998,DDDC,1
16220124 7513,Castleton,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Open Market,COU,2003/04,12/10/1999,HPBC,1
16500503 7667,Abney Grange,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Open Market,COU,2001/02,13/11/2000,DDDC,1
16180517 4156,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Open Market,COU,1991/92,18/09/1990,DDDC,1
16760304 3873,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Open Market,COU,1992/93,24/06/1992,DDDC,1
16710620 3065,Froggatt,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Open Market,COU,2002/03,26/06/2000,DDDC,1
16821018 8119,Froggatt,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Open Market,COU,2001/02,26/06/2000,DDDC,1
16790703 2408,Aston,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Open Market,COU,1992/93,24/08/1990,HPBC,1
16250114 7488,Brassington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Open Market,COU,2002/03,12/11/1992,DDDC,1
16071012 4843,Winster,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Open Market,COU,1997/98,02/10/1995,DDDC,1
16900920 2244,Fawfieldhead,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Open Market,COU,1993/94,14/11/1989,SMDC,1
16120130 4563,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Open Market,COU,1994/95,22/11/1990,DDDC,1
16190327 9824,Bradwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Open Market,COU,2002/03,24/11/2000,DDDC,1
16111123 9404,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Open Market,COU,1993/94,08/01/1990,SMDC,1
16441212 1289,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Open Market,COU,2004/05,12/01/2001,HPBC,1
16291006 3706,Chinley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Open Market,COU,1992/93,09/07/1990,HPBC,1
16530103 5704,Baslow & Bubnell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Open Market,COU,1994/95,09/03/1993,DDDC,2
16910803 7210,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Open Market,COU,2003/04,12/03/1996,DDDC,2
16250524 6229,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Open Market,COU,1999/00,11/07/1996,DDDC,2
16580210 8844,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Open Market,COU,1999/00,07/04/1997,DDDC,2
16720130 0980,Great Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Open Market,COU,2004/05,30/04/1999,DDDC,2
16640330 9559,Hayfield,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Open Market,COU,1998/99,03/06/1997,HPBC,1
16930715 8775,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Open Market,COU,1999/00,03/06/1997,HPBC,1
16311207 6645,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Open Market,COU,2001/02,02/06/1999,DDDC,2
16271014 4326,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Open Market,COU,2005/06,18/08/1999,DDDC,2
16801106 4246,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Open Market,COU,2004/05,10/09/1999,DDDC,2
16251227 2184,Sheen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Open Market,COU,2000/01,21/10/1985,SMDC,2
16180116 7121,Longnor,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Open Market,COU,2005/06,16/12/2002,SMDC,2
16771119 6951,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Open Market,COU,2001/02,04/12/1998,HPBC,2
16461029 4599,Brassington,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Open Market,COU,1994/95,10/06/1992,DDDC,2
16170307 8228,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Open Market,COU,2008/09,17/06/1992,DDDC,1
16361022 1099,Castleton,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Open Market,COU,2005/06,09/07/2002,HPBC,3
16120813 9954,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Open Market,COU,1992/93,15/02/1988,DDDC,2
16770914 9301,Stoney Middleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Open Market,COU,2000/01,15/02/1988,DDDC,1
16550214 5476,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Open Market,COU,2000/01,22/06/1999,DDDC,4
16060827 3405,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Open Market,COU,1991/92,05/12/1988,DDDC,1
16691111 9003,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Open Market,COU,1992/93,05/12/1988,DDDC,2
16560105 0684,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Open Market,COU,2000/01,18/07/1996,MBC,7
16490808 8596,Litton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Open Market,COU,2004/05,07/08/2001,DDDC,1
16241104 5665,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Open Market,COU,2005/06,25/11/2002,DDDC,1
16730127 4267,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Open Market,COU,1994/95,24/08/1993,DDDC,1
16100305 3186,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Open Market,COU,1998/99,03/03/1994,SCC,1
16400919 8336,Grindon,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Open Market,COU,1993/94,16/05/1991,SMDC,1
16180817 3015,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Open Market,COU,1992/93,31/03/1992,DDDC,1
16060724 5545,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Open Market,COU,1994/95,14/06/1993,SMDC,1
16140804 3568,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Open Market,COU,2000/01,19/05/1993,SMDC,1
16421103 1937,Tintwistle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Open Market,COU,1992/93,31/05/1991,HPBC,1
16550324 0458,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Open Market,COU,1994/95,08/07/1993,MBC,1
16731016 3857,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Open Market,COU,1996/97,14/06/1993,DDDC,1
16960311 1700,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Open Market,COU,1994/95,13/08/1993,DDDC,1
16760619 6140,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Open Market,COU,1997/98,14/06/1993,DDDC,1
16220821 1041,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Open Market,COU,1992/93,16/09/1991,DDDC,1
16921121 7501,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Open Market,COU,1999/00,13/08/1999,DDDC,1
16880616 4771,Flagg,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Open Market,COU,1996/97,23/01/1992,DDDC,1
16100706 1979,Litton,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Open Market,COU,1998/99,11/01/1994,DDDC,1
16300808 0016,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Open Market,COU,1993/94,17/03/1992,HPBC,1
16771115 6021,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Open Market,COU,1994/95,27/01/1992,HPBC,1
16081115 6488,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Open Market,COU,1992/93,30/04/1991,SMDC,1
16980115 0815,Holme,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Open Market,COU,1992/93,06/11/1990,KMBC,1
16321126 1551,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Open Market,COU,1994/95,28/06/1993,HPBC,1
16030428 2304,Fenny Bentley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Open Market,COU,1992/93,23/09/1991,DDDC,1
16200226 9476,Outseats,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Open Market,COU,1994/95,27/04/1993,DDDC,1
16320126 0282,Calver,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Open Market,COU,1994/95,15/10/1993,DDDC,1
16110220 8921,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Open Market,COU,1997/98,08/01/1992,DDDC,2
16751013 0979,Bradfield,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Open Market,COU,1998/99,31/03/1994,SCC,1
16671129 0657,Bradfield,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Open Market,COU,2008/09,31/03/1994,SCC,3
16190225 0107,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Open Market,COU,1998/99,01/03/1995,DDDC,1
16091015 8013,Hassop,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Open Market,COU,1996/97,15/12/1994,DDDC,1
16560112 4919,Peak Forest,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Open Market,COU,1998/99,03/11/1994,HPBC,1
16380207 3787,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Open Market,COU,1996/97,31/01/1995,DDDC,1
16011120 5506,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Open Market,COU,1997/98,09/06/1994,DDDC,1
16120128 3437,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Open Market,COU,1996/97,28/06/1994,DDDC,1
